Code,Description,Active
"2131",Chewing And Smoking Tobacco,true
"2141",Tobacco Stemming And Redrying,true
"2211","Broadwoven Fabric Mills, Cotton",true
"2221","Broadwoven Fabric Mills, Manmade",true
"2231","Broadwoven Fabric Mills, Wool",true
"2241",Narrow Fabric Mills,true
"2251","Women's Hosiery, Except Socks",true
"2252",Hosiery,true
"2253",Knit Outerwear Mills,true
"2254",Knit Underwear Mills,true
"2257",Weft Knit Fabric Mills,true
"2258",Lace & Warp Knit Fabric Mills,true
"2259",Knitting Mills,true
"2261","Finishing Plants, Cotton",true
"2262","Finishing Plants, Manmade",true
"2269",Finishing Plants,true
"2271",Legacy Docket Conv,false
"2272",Legacy Docket Conv,false
"2273",Carpets And Rugs,true
"2281",Yarn Spinning Mills,true
"2282",Throwing And Winding Mills,true
"2283",Legacy Docket Conv,false
"2284",Thread Mills,true
"2291",Legacy Docket Conv,false
"2294",Legacy Docket Conv,false
"2295","Coated Fabrics, Not Rubberized",true
"2296",Tire Cord And Fabrics,true
"2297",Nonwoven Fabrics,true
"2298",Cordage And Twine,true
"2299",Textile Goods,true
"2311",Men's And Boys' Suits And Coats,true
"2321",Men's And Boys' Shirts,true
"2322",Men's & Boys' Underwear & Nightwear,true
"2323",Men's And Boys' Neckwear,true
"2325",Men's And Boys' Trousers And Slacks,true
"2326",Men's And Boys' Work Clothing,true
"2329","Men's and Boys' Clothing, Not Elsewhere Classified",true
"2331",Women's & Misses' Blouses & Shirts,true
"2335","Women's, Juniors', & Misses' Dresses",true
"2337",Women's And Misses' Suits And Coats,true
"2339",Women's And Misses' Outerwear,true
"2341",Women's And Children's Underwear,true
"2342","Bras, Girdles, And Allied Garments",true
"2353","Hats, Caps, And Millinery",true
"2361","Girls' & Children's Dresses, Blouses",true
"2369",Girls' And Children's Outerwear,true
"2371",Fur Goods,true
"2381",Fabric Dress And Work Gloves,true
"2384",Robes And Dressing Gowns,true
"2385",Waterproof Outerwear,true
"2386",Leather And Sheep-Lined Clothing,true
"2387",Apparel Belts,true
"2389",Apparel And Accessories,true
"2391",Curtains And Draperies,true
"2392",Housefurnishings,true
"2393",Textile Bags,true
"2394",Canvas And Related Products,true
"2395",Pleating And Stitching,true
"2396",Automotive And Apparel Trimmings,true
"2397",Schiffli Machine Embroideries,true
"2399",Fabricated Textile Products,true
"2411",Logging,true
"2421","Sawmills And Planing Mills, General",true
"2426",Hardwood Dimension & Flooring Mills,true
"2429",Special Product Saw Mills,true
"2431",Millwork,true
"2434",Wood Kitchen Cabinets,true
"2435",Hardwood Veneer And Plywood,true
"2436",Softwood Veneer And Plywood,true
"2439",Structural Wood Members,true
"2441",Nailed Wood Boxes And Shook,true
"2448",Wood Pallets And Skids,true
"2449",Wood Containers,true
